accession,type,species,description,last_update,factors
E-GEOD-22313,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-634,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-41095,differential,Mus musculus,Differential expression comparing disease,,disease
E-TABM-304,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-700,differential,Mus musculus,Differential expression comparing compound,,compound
E-TABM-1006,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-TABM-1007,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-5539,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-50188,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-710,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-5583,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-939,differential,Mus musculus,Differential expression comparing conditions,,
E-TABM-232,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-MTAB-1624,differential,Oryza sativa Japonica Group,Differential expression comparing growth condition,,growth condition
E-MEXP-755,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-793,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-11594,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-TABM-102,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-558,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-13930,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-MEXP-834,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-856,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-11807,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MEXP-886,differential,Mus musculus,Differential expression comparing conditions,,
E-TABM-1020,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-93,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-563,differential,Homo sapiens,Differential expression comparing genetic modification,,genetic modification
E-MEXP-950,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-1131,differential,Homo sapiens,Differential expression comparing genetic modification,,genetic modification
E-GEOD-12773,differential,Homo sapiens,Differential expression comparing growth condition,,growth condition
E-GEOD-13284,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-5563,differential,Homo sapiens,Differential expression comparing disease,,disease
E-TABM-297,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-TABM-357,differential,Gallus gallus,Differential expression comparing infect,,infect
E-GEOD-11852,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-12729,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-GEOD-12834,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-1294,differential,Mus musculus,Differential expression comparing disease,,disease
E-GEOD-12964,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-13739,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-GEOD-13783,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-1413,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-31677,differential,Vitis vinifera,Differential expression comparing growth condition,,growth condition
E-GEOD-19732,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-21143,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-2538,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-4733,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MEXP-438,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-61062,differential,Danio rerio,Differential expression comparing compound,,compound
E-MEXP-1137,differential,Mus musculus,Differential expression comparing disease,,disease
E-MEXP-2594,differential,Mus musculus,"Differential expression comparing infect, compound",,"infect, compound"
E-GEOD-3231,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-15189,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-GEOD-1621,differential,Mus musculus,Differential expression comparing clinical treatment,,clinical treatment
E-GEOD-5500,differential,Mus musculus,Differential expression comparing environmental stress,,environmental stress
E-GEOD-12251,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-12108,differential,Homo sapiens,Differential expression comparing infect,,infect
E-GEOD-11919,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-1958,differential,Homo sapiens,"Differential expression comparing growth condition, compound",,"growth condition, compound"
E-GEOD-13274,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-1297,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-1417,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-13142,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-12764,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-19639,differential,Homo sapiens,"Differential expression comparing cell line, growth condition",,"cell line, growth condition"
E-GEOD-13975,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-12854,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-13763,differential,Homo sapiens,Differential expression comparing RNA interference,,RNA interference
E-GEOD-12886,differential,Homo sapiens,Differential expression comparing RNA interference,,RNA interference
E-GEOD-1676,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-13887,differential,Homo sapiens,"Differential expression comparing disease, compound",,"disease, compound"
E-GEOD-36176,differential,Homo sapiens,"Differential expression comparing cell line, compound",,"cell line, compound"
E-GEOD-4600,differential,Homo sapiens,Differential expression comparing developmental stage,,developmental stage
E-GEOD-6740,differential,Homo sapiens,"Differential expression comparing cell type, disease",,"cell type, disease"
E-GEOD-5999,differential,Homo sapiens,Differential expression comparing developmental stage,,developmental stage
E-GEOD-6691,differential,Homo sapiens,"Differential expression comparing cell type, disease",,"cell type, disease"
E-MEXP-1968,differential,Mus musculus,Differential expression comparing irradiate,,irradiate
E-MIMR-541,differential,Rattus norvegicus,Differential expression comparing disease,,disease
E-MTAB-2845,differential,Mus musculus,Differential expression comparing infect,,infect
E-GEOD-30485,differential,Mus musculus,Differential expression comparing treatment,,treatment
E-GEOD-38136,differential,Mus musculus,Differential expression comparing diet,,diet
E-GEOD-38141,differential,Mus musculus,Differential expression comparing diet,,diet
E-GEOD-40370,differential,Mus musculus,Differential expression comparing compound,,compound
E-MEXP-1513,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MTAB-3000,differential,Mus musculus,Differential expression comparing conditions,,
E-TABM-275,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-58948,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-50189,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-46006,differential,Mus musculus,Differential expression comparing disease,,disease
E-GEOD-27302,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-42768,differential,Mus musculus,"Differential expression comparing disease, clinical treatment",,"disease, clinical treatment"
E-MEXP-3098,differential,Mus musculus,"Differential expression comparing disease, strain",,"disease, strain"
E-GEOD-31042,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-33270,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-38218,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-38219,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-43536,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-62210,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-57086,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-62013,differential,Mus musculus,Differential expression comparing disease,,disease
E-GEOD-54931,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-1005,differential,Mus musculus,Differential expression comparing infect,,infect
E-GEOD-60439,differential,Rattus norvegicus,Differential expression comparing conditions,,
E-GEOD-19245,differential,Arabidopsis thaliana,"Differential expression comparing compound, organism part",,"compound, organism part"
E-GEOD-42403,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-22125,differential,Mus musculus,Differential expression comparing conditions,,
E-MAXD-6,differential,Drosophila melanogaster,Differential expression comparing infect,,infect
E-GEOD-3749,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-54590,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MTAB-1228,differential,Drosophila melanogaster,Differential expression comparing environmental stress,,environmental stress
E-MEXP-1371,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-GEOD-2413,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-2972,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-3414,differential,Mus musculus,"Differential expression comparing infect, strain",,"infect, strain"
E-GEOD-37432,differential,Caenorhabditis elegans,Differential expression comparing conditions,,
E-GEOD-31019,differential,Homo sapiens,"Differential expression comparing cell line, compound",,"cell line, compound"
E-GEOD-2639,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-40643,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-8286,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-57658,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-62203,differential,Homo sapiens,Differential expression comparing growth condition,,growth condition
E-GEOD-55098,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-4786,differential,Mus musculus,Differential expression comparing diet,,diet
E-GEOD-7381,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-1314,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-879,differential,Drosophila melanogaster,Differential expression comparing developmental stage,,developmental stage
E-TABM-197,differential,Rattus norvegicus,Differential expression comparing strain,,strain
E-TABM-198,differential,Rattus norvegicus,Differential expression comparing conditions,,
E-TABM-199,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-3419,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-4324,differential,Mus musculus,"Differential expression comparing disease, sex",,"disease, sex"
E-GEOD-2192,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-2507,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-GEOD-55222,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-6928,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-59452,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-3382,differential,Sus scrofa,Differential expression comparing disease,,disease
E-GEOD-24978,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-20523,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-58085,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-58086,differential,Mus musculus,"Differential expression comparing compound, diet",,"compound, diet"
E-GEOD-60932,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-2011,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-15105,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-15452,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-1208,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MEXP-2377,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-GEOD-23329,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-23330,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-21475,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-GEOD-1675,differential,Rattus norvegicus,Differential expression comparing disease,,disease
E-GEOD-12054,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-19984,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-3076,differential,Saccharomyces cerevisiae,Differential expression comparing growth condition,,growth condition
E-GEOD-4847,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-7002,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-MEXP-1074,differential,Homo sapiens,Differential expression comparing developmental stage,,developmental stage
E-MTAB-3420,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-15947,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-20264,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-31193,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-28877,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-24068,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-2729,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-8961,differential,Homo sapiens,Differential expression comparing infect,,infect
E-GEOD-59234,differential,Homo sapiens,Differential expression comparing cell line,,cell line
E-GEOD-55859,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-9649,differential,Homo sapiens,Differential expression comparing environmental stress,,environmental stress
E-GEOD-8938,differential,Drosophila melanogaster,Differential expression comparing disease,,disease
E-MEXP-1707,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-1975,differential,Mus musculus,Differential expression comparing compound,,compound
E-MEXP-254,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-MEXP-558,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-731,differential,Mus musculus,Differential expression comparing conditions,,
E-TABM-12,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-TABM-426,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-15092,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-3203,differential,Mus musculus,"Differential expression comparing disease, compound",,"disease, compound"
E-TABM-903,differential,Mus musculus,Differential expression comparing compound,,compound
E-TABM-105,differential,Danio rerio,Differential expression comparing compound,,compound
E-TABM-448,differential,Saccharomyces cerevisiae,Differential expression comparing conditions,,
E-GEOD-6591,differential,Mus musculus,Differential expression comparing strain,,strain
E-GEOD-2336,differential,Mus musculus,Differential expression comparing sex,,sex
E-MEXP-3922,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-33161,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-54073,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-16722,differential,Arabidopsis thaliana,"Differential expression comparing growth condition, organism part",,"growth condition, organism part"
E-GEOD-1938,differential,Saccharomyces cerevisiae,Differential expression comparing growth condition,,growth condition
E-MEXP-923,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-8029,differential,Danio rerio,Differential expression comparing conditions,,
E-GEOD-25413,differential,Bos taurus,Differential expression comparing stimulus,,stimulus
E-GEOD-3822,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-GEOD-4745,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-GEOD-16083,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-2930,differential,Mus musculus,"Differential expression comparing disease, strain",,"disease, strain"
E-GEOD-57664,differential,Caenorhabditis elegans,Differential expression comparing compound,,compound
E-MEXP-2241,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-1416,differential,Homo sapiens,"Differential expression comparing disease, sex",,"disease, sex"
E-MEXP-2055,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-1615,differential,Homo sapiens,"Differential expression comparing disease, compound",,"disease, compound"
E-GEOD-21422,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-20189,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-20318,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-GEOD-20181,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-20489,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-GEOD-21946,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-21832,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-GEOD-17156,differential,Homo sapiens,Differential expression comparing infect,,infect
E-GEOD-23610,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-GEOD-23764,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-GEOD-43459,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-43521,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-56825,differential,Homo sapiens,"Differential expression comparing cell line, growth condition",,"cell line, growth condition"
E-GEOD-13927,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-GEOD-18551,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-46456,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-23336,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-30248,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-62994,differential,Rattus norvegicus,"Differential expression comparing compound, injury",,"compound, injury"
E-GEOD-34130,differential,Arabidopsis thaliana,"Differential expression comparing growth condition, ecotype",,"growth condition, ecotype"
E-MEXP-1176,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-3069,differential,Drosophila melanogaster,Differential expression comparing developmental stage,,developmental stage
E-GEOD-8077,differential,Rattus norvegicus,Differential expression comparing conditions,,
E-GEOD-6323,differential,Mus musculus,Differential expression comparing diet,,diet
E-GEOD-1008,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-1025,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-10670,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-GEOD-12477,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-12856,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-GEOD-14531,differential,Drosophila melanogaster,Differential expression comparing diet,,diet
E-GEOD-15236,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-GEOD-18576,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-2084,differential,Mus musculus,Differential expression comparing irradiate,,irradiate
E-GEOD-2116,differential,Rattus norvegicus,Differential expression comparing disease,,disease
E-GEOD-2154,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-3990,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-4235,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-51932,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-6556,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-GEOD-7137,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-GEOD-7762,differential,Mus musculus,Differential expression comparing strain,,strain
E-GEOD-8972,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-1028,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-12198,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-1220,differential,Homo sapiens,Differential expression comparing irradiate,,irradiate
E-MEXP-1014,differential,Homo sapiens,"Differential expression comparing cell line, compound",,"cell line, compound"
E-GEOD-13487,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-20876,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-13309,differential,Homo sapiens,"Differential expression comparing cell line, growth condition",,"cell line, growth condition"
E-GEOD-13396,differential,Homo sapiens,"Differential expression comparing disease, infect",,"disease, infect"
E-GEOD-16837,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-GEOD-2638,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-51651,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-5040,differential,Homo sapiens,"Differential expression comparing disease, compound",,"disease, compound"
E-GEOD-5823,differential,Homo sapiens,Differential expression comparing cell line,,cell line
E-GEOD-60551,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-58475,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-620,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-1282,differential,Vitis vinifera,Differential expression comparing developmental stage,,developmental stage
E-MEXP-1345,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-1504,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-GEOD-24887,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-2354,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-835,differential,Mus musculus,"Differential expression comparing disease, strain",,"disease, strain"
E-MEXP-1950,differential,Vitis vinifera,Differential expression comparing conditions,,
E-MTAB-2906,differential,Danio rerio,Differential expression comparing conditions,,
E-GEOD-2437,differential,Mus musculus,Differential expression comparing clinical treatment,,clinical treatment
E-GEOD-15254,differential,Saccharomyces cerevisiae,Differential expression comparing compound,,compound
E-GEOD-24781,differential,Arabidopsis thaliana,Differential expression comparing organism part,,organism part
E-GEOD-54607,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-31406,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-1888,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-GEOD-44342,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-3836,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-34011,differential,Mus musculus,Differential expression comparing diet,,diet
E-GEOD-46050,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-2422,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-19700,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-GEOD-19520,differential,Arabidopsis thaliana,"Differential expression comparing compound, organism part",,"compound, organism part"
E-GEOD-16779,differential,Mus musculus,Differential expression comparing disease,,disease
E-GEOD-51161,differential,Caenorhabditis elegans,Differential expression comparing growth condition,,growth condition
E-GEOD-13705,differential,Mus musculus,"Differential expression comparing disease, diet",,"disease, diet"
E-GEOD-22307,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-1483,differential,Populus trichocarpa,"Differential expression comparing compound, organism part",,"compound, organism part"
E-GEOD-46958,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-GEOD-9913,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-51039,differential,Mus musculus,"Differential expression comparing stimulus, sex",,"stimulus, sex"
E-GEOD-25746,differential,Homo sapiens,"Differential expression comparing cell line, compound",,"cell line, compound"
E-GEOD-35198,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-22533,differential,Homo sapiens,"Differential expression comparing cell line, compound",,"cell line, compound"
E-GEOD-40266,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-47739,differential,Homo sapiens,Differential expression comparing phenotype,,phenotype
E-GEOD-48121,differential,Homo sapiens,Differential expression comparing infect,,infect
E-GEOD-46538,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-37571,differential,Homo sapiens,Differential expression comparing infect,,infect
E-GEOD-48937,differential,Homo sapiens,Differential expression comparing growth condition,,growth condition
E-GEOD-47664,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-39685,differential,Homo sapiens,Differential expression comparing cell line,,cell line
E-GEOD-41322,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-54002,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-56003,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-54962,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-GEOD-63142,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-52942,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-1569,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-48836,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-3503,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-23421,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-23914,differential,Mus musculus,Differential expression comparing clinical treatment,,clinical treatment
E-GEOD-15318,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-GEOD-20621,differential,Mus musculus,Differential expression comparing disease,,disease
E-GEOD-34874,differential,Mus musculus,"Differential expression comparing disease, compound",,"disease, compound"
E-GEOD-49596,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-MTAB-3230,differential,Oryza sativa,"Differential expression comparing stimulus, phenotype",,"stimulus, phenotype"
E-MTAB-3293,differential,Rattus norvegicus,"Differential expression comparing disease, compound",,"disease, compound"
E-MTAB-2995,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-3326,differential,Mus musculus,Differential expression comparing sampling site,,sampling site
E-GEOD-55203,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-48191,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-3518,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-13833,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-11759,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-51162,differential,Caenorhabditis elegans,Differential expression comparing growth condition,,growth condition
E-GEOD-58358,differential,Mus musculus,Differential expression comparing diet,,diet
E-GEOD-62315,differential,Vitis vinifera,Differential expression comparing irradiate,,irradiate
E-MEXP-3122,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-MTAB-3146,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-GEOD-21944,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-53997,differential,Sus scrofa,Differential expression comparing phenotype,,phenotype
E-GEOD-44907,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-1680,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-3242,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-51215,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-50019,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-54340,differential,Saccharomyces cerevisiae,Differential expression comparing conditions,,
E-GEOD-5475,differential,Mus musculus,Differential expression comparing diet,,diet
E-GEOD-59460,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-63848,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-28451,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-GEOD-54351,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-2240,differential,Homo sapiens,"Differential expression comparing disease, organism part",,"disease, organism part"
E-GEOD-19279,differential,Homo sapiens,"Differential expression comparing disease, organism part",,"disease, organism part"
E-GEOD-44097,differential,Homo sapiens,Differential expression comparing cell line,,cell line
E-GEOD-44327,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-40241,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-50627,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-56681,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-GEOD-9350,differential,Homo sapiens,Differential expression comparing growth condition,,growth condition
E-GEOD-53295,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-56084,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-61705,differential,Homo sapiens,Differential expression comparing phenotype,,phenotype
E-GEOD-59848,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-62435,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-54678,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-GEOD-35580,differential,Arabidopsis thaliana,"Differential expression comparing compound, organism part",,"compound, organism part"
E-GEOD-54785,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-43311,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-43551,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-54886,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-43883,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-57140,differential,Arabidopsis thaliana,Differential expression comparing treatment,,treatment
E-GEOD-44793,differential,Arabidopsis thaliana,Differential expression comparing stimulus,,stimulus
E-GEOD-53016,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-11758,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-3474,differential,Mus musculus,"Differential expression comparing cell type, stimulus",,"cell type, stimulus"
E-GEOD-54573,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-54924,differential,Mus musculus,Differential expression comparing conditions,,
